object_id;federal_state;district;lor_2021;year_accident;month_accident;hour_accident;weekday;accident_category;accident_type;accident_subtype;light_conditions;accident_involving_bicycle;accident_involving_passenger_car;accident_involving_pedestrian;accident_involving_motorcycle;accident_involving_truck;accident_involving_other;road_condition;coordinates_1a;coordinates_2a;coordinates_1b;coordinates_2b
215406;11;Reinickendorf;12500825.0;2021;9;15;4;3;2;2;0;1;0;0;0;0;1;0;791259,9722;5834950,014;13,30010109;52,58639318
215405;11;Steglitz-Zehlendorf;6200313.0;2021;9;15;3;3;1;5;0;1;1;0;0;0;0;0;795441,5991;5818538,65;13,34707658;52,43702357
215402;11;Treptow-Koepenick;9301025.0;2021;8;15;6;3;5;3;0;1;1;0;0;0;0;0;810981,654;5814213,408;13,57094157;52,38964869
215400;11;Mitte;1200625.0;2021;9;10;7;3;5;2;0;1;1;0;0;0;0;1;794775,1383;5828918,037;13,34647932;52,53042807
215396;11;Mitte;1400938.0;2021;9;17;5;3;1;5;0;1;1;0;0;0;0;0;794692,872;5831440,553;13,3475077;52,55308501
215395;11;Friedrichshain-Kreuzberg;2400625.0;2021;9;16;5;3;5;2;0;1;1;0;0;0;0;0;801750,0383;5826253,006;13,44657492;52,50272511
215391;11;Pankow;3400725.0;2021;8;13;3;3;5;2;0;1;1;0;0;0;0;0;798825,9107;5834942,454;13,41144072;52,58222236
215387;11;Pankow;3601243.0;2021;9;6;2;3;5;3;0;1;1;0;0;0;0;0;799824,8966;5831539,347;13,42306486;52,55116982
215386;11;Treptow-Koepenick;9100408.0;2021;9;15;5;3;5;2;0;1;1;0;0;0;0;0;806254,8273;5819253,499;13,50631064;52,43748328
215383;11;Neukoelln;8100208.0;2021;9;11;1;3;1;5;0;1;1;0;0;0;0;0;801192,1182;5822660,217;13,43513356;52,4708303
215381;11;Friedrichshain-Kreuzberg;2200209.0;2021;9;23;5;3;4;6;2;1;0;0;0;0;1;0;797272,6225;5824612,488;13,37934287;52,49047739
215377;11;Mitte;1300733.0;2021;8;17;6;3;5;2;0;1;1;0;0;0;0;0;797080,2853;5831450,461;13,38262574;52,5518769
215371;11;Friedrichshain-Kreuzberg;2400521.0;2021;9;14;2;3;5;2;0;1;0;0;0;0;1;0;800718,2645;5827875,413;13,43288609;52,51783677
215370;11;Pankow;3200205.0;2021;8;9;2;3;0;2;0;1;0;0;1;0;0;1;797408,5892;5835086,319;13,39071347;52,58428849
215362;11;Mitte;1100309.0;2021;8;18;7;2;6;2;0;1;0;1;0;0;0;1;798616,7386;5828406,353;13,40248388;52,52375068
215361;11;Pankow;3400725.0;2021;9;7;2;3;2;3;0;1;1;0;0;0;0;0;798830,5249;5834933,544;13,41150058;52,58213996
215360;11;Treptow-Koepenick;9401329.0;2021;9;10;1;3;5;3;0;1;1;0;0;0;0;0;816404,338;5817588,216;13,65355155;52,41678492
215359;11;Neukoelln;8200831.0;2021;8;9;3;3;0;2;0;1;1;0;0;0;0;1;799610,1448;5816426,278;13,40632409;52,4158214
215358;11;Tempelhof-Schoeneberg;7300619.0;2021;9;15;6;3;3;6;0;1;1;0;0;0;0;0;795906,1726;5820836,333;13,35592602;52,45736953
215356;11;Steglitz-Zehlendorf;6300632.0;2021;9;15;3;3;5;2;0;1;1;0;0;0;0;0;792232,5529;5816671,323;13,2983725;52,42200711
215354;11;Mitte;1100416.0;2021;9;12;3;2;0;1;0;1;0;0;0;0;0;1;798775,0263;5829656,913;13,40593384;52,53487344
215352;11;Neukoelln;8401139.0;2021;9;18;6;3;3;6;0;1;1;0;0;0;0;0;803466,6678;5818614,696;13,46484097;52,43331181
215351;11;Steglitz-Zehlendorf;6300633.0;2021;9;8;3;3;5;2;0;1;1;0;0;0;0;0;793263,4669;5819084,918;13,31560634;52,443093
215349;11;Mitte;1100416.0;2021;9;9;4;3;5;2;0;1;1;0;0;0;0;0;798676,818;5829457,174;13,40431076;52,5331369
215347;11;Lichtenberg;11100206.0;2021;9;12;7;3;1;5;0;1;1;0;0;0;0;0;805530,7961;5834367,188;13,50956223;52,57334332
215344;11;Mitte;1100103.0;2021;9;7;5;3;5;3;0;1;1;0;0;0;0;0;795782,6566;5825768,986;13,35848914;52,50165381
215343;11;Reinickendorf;12100205.0;2021;9;14;3;3;5;3;0;1;1;0;0;0;0;0;794528,06;5833159,316;13,34660939;52,56858154
215339;11;Reinickendorf;12100205.0;2021;9;20;7;3;2;6;2;1;1;0;0;0;0;0;794832,9081;5833523,993;13,35141838;52,57168553
215336;11;Treptow-Koepenick;9200510.0;2021;9;18;7;3;5;2;0;1;1;0;0;0;0;1;806606,7131;5822046,621;13,51403473;52,46231914
215335;11;Neukoelln;8100206.0;2021;9;23;4;3;1;5;2;1;1;0;0;0;0;0;800549,5947;5823758,515;13,42669268;52,48102865
215333;11;Charlottenburg-Wilmersdorf;4300518.0;2021;9;8;1;2;5;3;0;1;1;0;0;0;0;0;792682,3417;5828137,691;13,31502943;52,52456027
215325;11;Spandau;5200528.0;2021;9;7;2;3;5;2;0;1;1;0;0;0;0;0;783645,4151;5825890,001;13,18027282;52,50918382
215320;11;Friedrichshain-Kreuzberg;2200209.0;2021;9;16;2;3;0;2;0;1;1;0;0;0;0;0;797749,362;5824034,295;13,38582718;52,48503473
215317;11;Friedrichshain-Kreuzberg;2200210.0;2021;9;9;2;3;5;3;0;1;0;0;0;0;1;0;799030,9882;5824724,537;13,40526428;52,49052142
215316;11;Mitte;1100206.0;2021;8;8;3;3;5;2;0;1;1;0;0;0;0;0;797760,3637;5827453,055;13,38904542;52,51567389
215314;11;Steglitz-Zehlendorf;6100102.0;2021;9;20;4;2;5;2;1;1;0;0;1;0;0;0;793736,9987;5820563,08;13,32385312;52,45609006
215312;11;Pankow;3601142.0;2021;9;9;4;3;0;2;0;1;1;0;0;0;0;0;799136,325;5830601,517;13,41209503;52,5431422
